,,Victoria,,,,,,,Nation's T. rex,,,,,,,,,Nation's T. rex muscle forces,,,,,,,,,,,,,TIme (s),Activation,Proportion of l0,146.018428,angle=0.5alpha*t^2,,,-2.581688017,,w=alpha*t,Distance (m),tangential velocity,,Radians Angular displacement: t to t+1,Degrees Angular displacement: t to t+1
"Mass properties:1 g/ cm^3, 1000 kg/m^3",,,"Mass properties::1.2 g/ cm^3, 1200 kg/m^3",,,,"Mass properties:1 g/ cm^3, 1000 kg/m^3",,,"Mass properties::1.2 g/ cm^3, 1200 kg/m^3",,,,,mames,mamem,mamep,mamp,mps,mint,mptd,mptv,Total Y force,Total  Y force*0.3 average in-lever,,,Acceleration=Torque/Rotational inertia,,,,0,,,AB column value= radial acceleration = rad/sec^2,0,0,Displacement from before value,Fusion 360,Blender,0,1,#VALUE!,,0,0
Mass (kg),184.4935488,,221.3922585,,,,Mass (kg),270.7,,324.84,,,,vertical component: fiber length=0.35*muscle length,20377.22932,7613.761172,18976.44079,15940.68755,19285.49206,10436.61571,4453.222265,59741.02096,156824.4698,47047.34095,,,175.2221136,Maximum at I=268.5,,,0.01,,,,0.0073009214,0.4183119828,0.4183119828,-2.581688017,-3.791688017,0,,#VALUE!,,0.0073009214,0.4183119828
CM,,,,,,,CM,,,,,,,vertical component: fiber length=1*muscle length,7132.03026,2664.81641,6641.754277,5579.240643,6749.922221,3652.815498,1558.627793,20909.35733,54888.56444,16466.56933,,,61.32773976,Minimum at I=268.5,,,0.02,,,,0.0292036856,1.673247931,1.254935948,-1.326752069,-2.536752069,0,,#VALUE!,,0.0219027642,1.254935948
x,-0.01367037,,,,,,x,-0.01367037,,,,,,,,,,,,,,,,,,,146.018428,Maxmum at I=322.20139,,,0.03,,,,0.0657082926,3.764807845,2.091559914,0.764807845,-0.445192155,0,,#VALUE!,,0.036504607,2.091559914
y,0.005789149,,,,,,y,0.005789149,,,,,,,,,,,,,,,,,,,51.1064498,Minimum at I=322.20140,,,0.04,,,,0.1168147424,6.692991724,2.928183879,3.692991724,2.482991724,0,,#VALUE!,,0.0511064498,2.928183879
z,0.51399212,,,,,,z,0.362888,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.182523035,10.45779957,3.764807845,7.457799569,6.247799569,0,,#VALUE!,,0.0657082926,3.764807845
RI from Mass * (CM_distance)^2,,,,,,,RI from Mass * (CM_distance)^2,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.2628331704,15.05923138,4.601431811,12.05923138,10.84923138,0,,#VALUE!,,0.0803101354,4.601431811
,0.03447797284,,0.0413735674,,,,,0.03447797284,,0.0413735674,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.3577451486,20.49728716,5.438055776,17.49728716,16.28728716,0,,#VALUE!,,0.0949119782,5.438055776
,0.006183162205,,0.007419794646,,,,,0.006183162205,,0.007419794646,,,,,,,,,,,,,,,,,,,,,0.08,,,,0.4672589696,26.7719669,6.274679742,23.7719669,22.5619669,0,,#VALUE!,,0.109513821,6.274679742
"For pitch, yaw",48.7409631,,58.48915572,,,,"For pitch, yaw",24.2955312,,29.15463744,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.5913746334,33.8832706,7.111303707,30.8832706,29.6732706,0,,#VALUE!,,0.1241156638,7.111303707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.73009214,41.83119828,7.947927673,38.83119828,37.62119828,0,,#VALUE!,,0.1387175066,7.947927673
"Inertia tensors:1 g/ cm^3, 1000 kg/m^3",,,"Inertia tensors:1.2 g/ cm^3, 1200 kg/m^3",,,,"Inertia tensors:1 g/ cm^3, 1000 kg/m^3",,,"Inertia tensors:1.2 g/ cm^3, 1200 kg/m^3",,,,,,,,,,,,,,,,,,,,,0.11,,,,0.8834114894,50.61574992,8.784551638,47.61574992,46.40574992,0,,#VALUE!,,0.1533193494,8.784551638
xx=pitch,,,,,,,xx=pitch,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,1.051332682,60.23692552,9.621175604,57.23692552,56.02692552,0,,#VALUE!,,0.1679211922,9.621175604
,yy=yaw,,,,,,,yy=yaw,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,1.233855717,70.69472509,10.45779957,67.69472509,66.48472509,0,,#VALUE!,,0.182523035,10.45779957
,,zz=roll,,,,,,,zz=roll,,,,,,,,,,,,,,,,,,,,,,0.14,,,,1.430980594,81.98914862,11.29442353,78.98914862,77.77914862,0,,#VALUE!,,0.1971248778,11.29442353
MMI g*cm^2,,,,,,,MMI g*cm^2,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,1.642707315,94.12019612,12.1310475,91.12019612,89.91019612,0,,#VALUE!,,0.2117267206,12.1310475
183474224,-321347.0625,3752309,220169068.8,-385616.475,4502770.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,1.869035878,107.0878676,,104.0878676,102.8778676,0,,#VALUE!,,0.2263285634,12.96767147
-321347.0625,225915184,18191728,-385616.475,271098220.8,21830073.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,2.109966285,120.892163,,117.892163,116.682163,0,,#VALUE!,,0.2409304062,13.80429543
3752309,18191728,78709432,4502770.8,21830073.6,94451318.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,2.365498534,135.5330824,,132.5330824,131.3230824,0,,#VALUE!,,0.255532249,14.6409194
MMI kg*m^2,,,,,,,MMI kg*m^2,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,2.635632625,151.0106258,,148.0106258,146.8006258,0,,#VALUE!,,0.2701340918,15.47754336
18.3474224,-0.03213470625,0.3752309,22.01690688,-0.0385616475,0.45027708,,30.162,0,0,36.1944,0,0,,,,,,,,,,,,,,,,,,,0.2,,,,2.92036856,167.3247931,,,163.1147931,0,,#VALUE!,,0.2847359346,16.31416733
-0.03213470625,22.5915184,1.8191728,-0.0385616475,27.10982208,2.18300736,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.21,,,,3.219706337,184.4755844,,,180.2655844,0,,#VALUE!,,0.2993377774,17.15079129
0.3752309,1.8191728,7.8709432,0.45027708,2.18300736,9.44513184,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.22,,,,3.533645958,202.4629997,,,198.2529997,0,,#VALUE!,,0.3139396202,17.98741526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,3.862187421,221.2870389,,,217.0770389,,,,,,
Total RI: inherent MMI in pitch + RI from Mass*(CM_distance^2 ,,,,,,,Total RI: inherent MMI in pitch + RI from Mass*(CM_distance^2 ,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,4.205330726,Degrees,,,,,,,,,
1000 kg/m^3,,,1200 kg/m^3,,,,1000 kg/m^3,,,1200 kg/m^3,,,,,,,,,,,,,,,,,,,,,0.25,,,,4.563075875,,,,,,,,,,
67.0883855,,,80.5060626,,,,54.4575312,,,65.34903744,,,,,,,,,,,,,,,,,,,,,0.26,,,,4.935422866,,,,,,,,,,
,,,,,,,534.2283811,,,641.0740573,,,,,,,,,,,,,,,,,,,,,0.27,,,,5.322371701,,,,,,,,,,
,,,,,,,268.5011611,,,322.2013933,,,,,,,,,,,,,,,,,,,,,0.28,,,,5.723922378,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,6.140074897,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,6.57082926,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,7.016185465,,,,,,,,,,
